country,Max_year,cc
Albania,2000,8
Algeria,2000,12
Argentina,2000,32
Armenia,2000,51
Aruba,2010,533
Australia,2005,36
Austria,2010,40
Azerbaijan,2005,31
Bahamas,2000,44
Bahrain,2000,48
Bangladesh,2010,50
Belarus,2000,112
Belgium,2000,56
Belize,2000,84
Benin,2005,204
Bhutan,2005,64
Bolivia,2000,68
Bosnia and Herzegovina,2010,70
Brazil,2010,76
Bulgaria,2000,100
Burkina Faso,2005,854
Burundi,2010,108
Cambodia,2010,116
Cameroon,2005,120
Canada,2000,124
Cape Verde,2000,132
Central African Republic,1995,140
Chad,2005,148
Chile,2000,152
China,2005,156
"China, Hong Kong SAR",2005,344
"China, Macao SAR",2005,446
Colombia,2005,170
Comoros,1995,174
Congo,2005,178
Costa Rica,2000,188
Cote d'Ivoire,2005,384
Croatia,2000,191
Cuba,2000,192
Cyprus,2000,196
Czech Republic,2000,203
Democratic Republic of the Congo,2005,180
Denmark,2000,208
Dominican Republic,2000,214
Ecuador,2000,218
Egypt,2005,818
El Salvador,2005,222
Equatorial Guinea,2000,226
Estonia,2000,233
Ethiopia,2010,231
Finland,2010,246
France,2010,250
French Guiana,2010,254
French Polynesia,2005,258
Gabon,2000,266
Gambia,2000,270
Georgia,2000,268
Germany,2010,276
Ghana,2000,288
Greece,2000,300
Guadeloupe,2010,312
Guatemala,2000,320
Guinea,1995,324
Guinea-Bissau,2000,624
Guyana,2000,328
Haiti,2005,332
Honduras,2000,340
Hungary,2000,348
Iceland,2010,352
India,2000,356
Indonesia,2010,360
Iran (Islamic Republic of),2005,364
Iraq,1995,368
Ireland,2000,372
Israel,2005,376
Italy,2000,380
Jamaica,2000,388
Japan,2010,392
Jordan,2005,400
Kazakhstan,2010,398
Kenya,2000,404
Kuwait,2005,414
Kyrgyzstan,2000,417
Lao People's Democratic Republic,2005,418
Latvia,2000,428
Lebanon,2005,422
Lesotho,2010,426
Liberia,2010,430
Lithuania,2000,440
Luxembourg,2000,442
Madagascar,2010,450
Malawi,2010,454
Malaysia,2000,458
Maldives,2005,462
Mali,2000,466
Malta,2010,470
Martinique,2010,474
Mauritius,2000,480
Mexico,2010,484
Mongolia,2000,496
Montenegro,2005,499
Morocco,2005,504
Mozambique,2005,508
Myanmar,2005,104
Namibia,2005,516
Nepal,2000,524
Netherlands,2000,528
Netherlands Antilles,2000,530
New Caledonia,2010,540
New Zealand,2000,554
Nicaragua,2005,558
Niger,2005,562
Nigeria,2010,566
Norway,2010,578
Occupied Palestinian Territory,2005,275
Pakistan,2000,586
Panama,2010,591
Paraguay,2000,600
Peru,2005,604
Philippines,2000,608
Poland,2000,616
Portugal,2000,620
Puerto Rico,2000,630
Qatar,2010,634
Republic of Korea,2010,410
Republic of Moldova,2005,498
Reunion,2010,638
Romania,2000,642
Russian Federation,2000,643
Rwanda,2000,646
Saint Lucia,2000,662
Saint Vincent and the Grenadines,2000,670
Samoa,2000,882
Sao Tome and Principe,2010,678
Saudi Arabia,2005,682
Senegal,2000,686
Serbia,2000,688
Sierra Leone,2005,694
Singapore,2010,702
Slovakia,2000,703
Slovenia,2000,705
Somalia,2005,706
South Africa,2005,710
Spain,2000,724
Sudan,2010,736
Suriname,2005,740
Swaziland,2005,748
Sweden,2010,752
Switzerland,2000,756
Syrian Arab Republic,2005,760
Tajikistan,2010,762
TFYR Macedonia,2010,807
Thailand,2000,764
Timor-Leste,2010,626
Tonga,2005,776
Trinidad and Tobago,2000,780
Tunisia,2010,788
Turkey,2000,792
Turkmenistan,1995,795
Uganda,2000,800
Ukraine,2000,804
United Arab Emirates,2005,784
United Kingdom,2000,826
United Republic of Tanzania,2000,834
United States of America,2005,840
Uruguay,2005,858
Vanuatu,2010,548
Venezuela (Bolivarian Republic of),2000,862
Viet Nam,2010,704
Zambia,2000,894
Zimbabwe,2005,716
